1||2,0.6170291568974647
2||3,0.15053213233210583
3||4,0.012181527196729824
4||5,0.05714889196916484
5||6,0.011637779726863307
6||7,0.01423157304835354
7||8,0.019445254895217867
8||9,1.916994532409344E-4
9||10,0.0046114694993575345
10||11,0.005352445196291522
11||12,0.054379197710270555
12||13,0.02561296624675724
13||14,0.01007012510803118
14||15,0.06737869895898108
15||16,0.03858156757232489
16||17,0.010353657727124266
17||18,0.011881017935121196
18||19,0.015379797703980347
19||20,0.03083680051286375
20||21,3.422972099628163E-4
21||22,0.02810708329620759
22||23,0.01636968249376647
23||24,0.027806760623580007
24||25,0.027619100792019013
25||26,0.012000918418029083
26||27,0.03664214216741213
27||28,0.028343829079020222
28||29,0.003003994500399787
29||30,0.05850321318467677
30||31,0.01930579975783908
31||32,0.02536523878994057
32||33,0.011227441645447755
33||34,0.025881657516164447
34||35,0.08729083638783564
35||36,0.005009290235410413
36||37,0.07233326826623554
37||38,0.0030840782071080985
38||39,0.006591790115856866
39||40,0.02238378887323511
40||41,0.007904348553145257
41||42,0.007436998829082886
42||43,0.017346947072604646
43||44,0.0041639376632154335
44||45,0.0028150996252908067
45||46,0.029789949576198516
46||47,0.017932644752214122
47||48,0.03274057149537801
48||49,0.011707743862308884
49||50,0.009466022772328109
50||51,0.00474142032406355
51||52,0.011694849625453863
52||53,0.009052989623497654
53||54,0.0011327366228061075
54||55,0.004558819045332729
55||56,0.0046100364108441205
56||57,3.9002725172865294E-4
57||58,0.00647321810628787
58||59,0.023490851376504862
59||60,0.06209352864043971
60||61,0.005626886183820123
61||62,0.0345282799837614
62||63,0.01276540485390465
63||64,0.05008725505486289
64||65,0.06859565119180122
65||66,0.05433780343591221
66||67,0.0012449619197805184
67||68,0.035956702481801495
68||69,0.006599528935346766
69||70,0.009514425289494866
70||71,9.357662179625414E-4
71||72,0.01026173351592341
72||73,0.03012039986520043
73||74,0.04066274084740085
74||75,0.016140578082171952
75||76,0.007398544311472577
76||77,1.1567045961502487E-4
77||78,0.03939439585431548
78||79,0.0054212108125405445
79||80,0.0023574483394601664
80||81,0.004354293084276373
81||82,0.008826905041557032
82||83,0.008680845099511503
83||84,0.009370629172465783
84||85,0.020482941401252508
85||86,0.03637894547543008
86||87,0.03154904601939412
87||88,0.03144447606888823
88||89,0.034442685794515815
89||90,0.030724430778414802
90||91,0.07985654651072549
91||92,2.927031773738431E-4
92||93,0.010834795664706132
93||94,4.599040585855363E-4
94||95,0.002595777840055713
95||96,0.001277918600494088
