1||2,0.7256483694156328
2||3,0.04826008737442178
3||4,0.011523623566542018
4||5,0.0
5||6,0.0014057284468725895
6||7,0.0
7||8,0.002631661810679975
8||9,0.013068766056710923
9||10,0.0012530757914986923
10||11,0.005125909311165744
11||12,0.00105786122882634
12||13,0.0
13||14,0.0015933262175400476
14||15,0.012672892167663874
15||16,0.013556156011760745
16||17,0.052099530632643276
17||18,0.005244330962033139
18||19,0.0027043312383934204
19||20,0.007138933861180918
20||21,0.007138933861180918
21||22,0.007138933861180918
22||23,0.003628796971006931
23||24,0.005125909311165744
24||25,0.006878073527973982
25||26,0.012672892167663874
26||27,4.468010814900891E-4
27||28,0.0
28||29,0.0
29||30,0.006240987268412157
30||31,0.0
31||32,0.0012530757914986923
32||33,0.006183822672081063
33||34,0.0012789130667067994
34||35,0.002631661810679975
35||36,2.4164586356445472E-4
36||37,0.0
37||38,2.4164586356445472E-4
38||39,0.0
39||40,0.018230302665188103
40||41,0.03459457338239935
41||42,0.008370561214312788
42||43,0.003110798812808624
43||44,2.4164586356445472E-4
44||45,0.005244330962033139
45||46,0.0015933262175400476
46||47,3.52792950972014E-4
47||48,0.0
48||49,0.0012789130667067994
49||50,0.0018721720741746717
50||51,7.688588741034952E-4
51||52,2.4164586356445472E-4
52||53,2.4164586356445472E-4
53||54,2.062844086636595E-4
54||55,0.00480176756390982
55||56,0.001886585054421075
56||57,1.5658727710421427E-4
57||58,0.0018721720741746717
58||59,0.0
59||60,8.943627221055239E-4
60||61,2.062844086636595E-4
61||62,0.002631661810679975
62||63,0.006240987268412157
63||64,0.00993559677665301
64||65,6.319584973083492E-4
65||66,0.010457276649167624
66||67,0.005244330962033139
67||68,0.007526912377578854
68||69,8.943627221055239E-4
69||70,0.011809031455999985
70||71,0.011809031455999985
71||72,2.88387059362627E-4
72||73,2.88387059362627E-4
73||74,2.4164586356445472E-4
74||75,0.0
75||76,2.4164586356445472E-4
76||77,0.0
77||78,0.00323633665300771
78||79,0.00323633665300771
79||80,0.006183822672081063
80||81,0.003983076901662774
81||82,2.4164586356445472E-4
82||83,2.88387059362627E-4
83||84,0.003628796971006931
84||85,5.89695004292734E-4
85||86,4.6887822850971705E-4
86||87,0.011256620701605047
87||88,0.030540102481652398
88||89,0.030540102481652398
89||90,2.88387059362627E-4
90||91,0.0
91||92,0.004560907691969596
92||93,0.004560907691969596
93||94,8.943627221055239E-4
94||95,0.004309952913111426
95||96,0.006240987268412157
96||97,0.006938982666686688
97||98,0.009339416702015546
98||99,2.062844086636595E-4
99||100,0.005244330962033139
100||101,0.03349398176282414
101||102,0.020552048735103523
102||103,0.0
103||104,2.88387059362627E-4
104||105,2.88387059362627E-4
105||106,2.88387059362627E-4
106||107,0.004560907691969596
107||108,0.0014173426914668719
108||109,8.943627221055239E-4
109||110,0.013867162894878216
110||111,3.483528173678918E-4
111||112,0.00983057733223991
112||113,0.003110798812808624
113||114,0.003110798812808624
114||115,0.007948697452707099
115||116,0.005422266440752943
116||117,0.00105786122882634
117||118,0.00105786122882634
118||119,0.002631661810679975
119||120,0.004309952913111426
120||121,0.004309952913111426
121||122,3.52792950972014E-4
122||123,0.005291000668798507
123||124,0.003110798812808624
124||125,0.006183822672081063
125||126,0.012797616359735975
126||127,3.6394331770939203E-4
127||128,0.001495546597312436
128||129,0.0
129||130,2.88387059362627E-4
130||131,0.015773673493604035
131||132,0.006213788990267477
132||133,0.0046901385524099615
133||134,0.00235122688528544
134||135,0.0012789130667067994
135||136,3.52792950972014E-4
136||137,2.88387059362627E-4
137||138,2.88387059362627E-4
138||139,2.88387059362627E-4
139||140,0.003110798812808624
140||141,0.005291000668798507
141||142,0.011143966106641034
142||143,0.0010914936745001214
143||144,0.0030292604218230545
144||145,0.0024317293379573224
145||146,0.0011947451991949354
146||147,0.5690541963143327
147||148,0.0
148||149,0.0
149||150,-2.220446049250313E-16
